-87.63396392	41.82361329
-87.63409378	41.82361124
-87.63447029	41.82360629
-87.63476387	41.82360302
-87.63510829	41.82360138
-87.63545371	41.82359777
-87.63573974	41.82359419
-87.63603945	41.82358752
-87.63608709	41.82358646
-87.63611788	41.82358578
-87.63616476	41.82358474
-87.63617401	41.82358453
-87.63622243	41.82358406
-87.63631224	41.82358317
-87.63641934	41.82358212
-87.63654945	41.82358108
-87.63659281	41.82358074
-87.63661454	41.82358056
-87.63688519	41.82357765
-87.63711494	41.82357728
-87.63736657	41.82356866
-87.6375508	41.82356235
-87.63755081	41.82356235
-87.63789689	41.82355924
-87.63812595	41.82355811
-87.63834641	41.8235579
-87.63861708	41.8235524
-87.63875118	41.82354968
-87.63896114	41.82354691
-87.63922146	41.82354558
-87.63953439	41.82354431
-87.63984076	41.82353901
-87.64009953	41.82353452
-87.6403132	41.82353197
-87.64058442	41.82352974
-87.64087145	41.82352546
-87.64106255	41.82352292
-87.64123791	41.82352059
-87.641494	41.82351659
-87.64167159	41.82351212
-87.64180308	41.82350881
-87.64213802	41.82350449
-87.64227433	41.82350289
-87.64235122	41.82350199
-87.64260681	41.823499
-87.64270206	41.82349781
-87.64289523	41.82349764
-87.64299983	41.82349754
-87.64331486	41.82349565
-87.64348999	41.8234916
-87.64376389	41.82348526
-87.64400826	41.82347984
-87.64409676	41.82347904
-87.6443434	41.82347682
-87.64472042	41.82347388
-87.64498789	41.8234718
-87.64518905	41.82346834
-87.64532628	41.8234671
-87.64541376	41.82346631
-87.6456298	41.82346414
-87.64592819	41.82345906
-87.64634715	41.82345192
-87.64661299	41.82344961
-87.64694245	41.82344614
-87.64724971	41.82344013
-87.6476645	41.82343399
-87.64807444	41.82342853
-87.64834114	41.82342503
-87.64854008	41.82342242
-87.64900642	41.82341631
-87.64947262	41.82340994
-87.64987544	41.82340425
-87.65019769	41.82339966
-87.65043972	41.82339624
-87.65078655	41.82339253
-87.65115472	41.82338858
-87.65134787	41.82338588
-87.65160532	41.82338231
-87.65184155	41.82337902
-87.65209489	41.8233755
-87.65271303	41.82336687
-87.65321974	41.82336829
-87.65333	41.8233686
-87.65395341	41.82335512
-87.65453763	41.82334249
-87.65472614	41.82333841
-87.65598015	41.82331603
-87.65611232	41.82331367
-87.65713749	41.82403664
-87.65734891	41.82607426
-87.65734547	41.82645488
-87.65734507	41.82648729
-87.65737422	41.82669688
-87.65740662	41.82692991
-87.6575279	41.82780216
-87.65754516	41.82800089
-87.65756469	41.82822584
-87.65756946	41.82863019
-87.65756978	41.82865756
-87.65757094	41.82875519
-87.65751649	41.82932659
-87.65740555	41.83030553
-87.65738535	41.83059979
-87.6573659	41.83088299
-87.65739736	41.83108411
-87.65742971	41.83119734
-87.65767846	41.83147509
-87.65846279	41.83234057
-87.65865855	41.83255658
-87.65918506	41.83311986
-87.66026987	41.83428041
-87.66027169	41.83428236
-87.66035395	41.83437036
-87.66089566	41.83465649
-87.6612869	41.83486315
-87.66167099	41.8352528
-87.6618581	41.8355096
-87.66198992	41.83569051
-87.66248658	41.83614133
-87.66307794	41.83682276
-87.66314322	41.83693082
-87.66317335	41.8369807
-87.66336061	41.83763553
-87.66343972	41.83780548
-87.66346551	41.83784343
-87.66388575	41.83846182
-87.66403067	41.83867837
-87.66404067	41.83869332
-87.6641311	41.83883082
-87.66428512	41.83906503
-87.66438443	41.83925086
-87.66441082	41.83930023
-87.66453756	41.8395552
-87.66456648	41.83988223
-87.66456524	41.83990009
-87.66456364	41.83992312
-87.66455748	41.84001193
-87.66452845	41.84042988
-87.6645422	41.84065998
-87.66457356	41.84075701
-87.66464719	41.84088953
-87.66484348	41.84124283
-87.66493765	41.84152181
-87.66496897	41.84161887
-87.66495178	41.84171561
-87.66459406	41.84232049
-87.66447319	41.84252486
-87.66430961	41.84280146
-87.6639464	41.84391589
-87.66391878	41.84400062
-87.66388769	41.84409602
-87.66377768	41.84429157
-87.66360685	41.84440599
-87.6634507	41.84450344
-87.66288401	41.84475195
-87.66252443	41.84490964
-87.66213066	41.84510369
-87.6616382	41.84534637
-87.6607786	41.84583587
-87.66077327	41.84583891
-87.66072033	41.84571609
-87.65860463	41.84726485
-87.65750461	41.8471661
-87.65729114	41.84720405
-87.65311726	41.84794972
-87.65258344	41.84800488
-87.65189016	41.84812297
-87.65157843	41.84817606
-87.65143621	41.84820815
-87.65140676	41.8482148
-87.65100295	41.84830594
-87.64975089	41.84838881
-87.64963716	41.84839633
-87.64926344	41.84847856
-87.6492045	41.84849152
-87.64914161	41.84850536
-87.64914153	41.84850538
-87.64895526	41.84854636
-87.64864375	41.8486149
-87.64813686	41.84877338
-87.6475927	41.84894351
-87.64679998	41.84921163
-87.64647378	41.84927095
-87.64585035	41.8493843
-87.64488928	41.8494176
-87.6445298	41.84945298
-87.64434225	41.84947144
-87.64414539	41.84949081
-87.64399883	41.84950524
-87.64377286	41.84914905
-87.64372028	41.84907303
-87.64367683	41.84901021
-87.6435261	41.84881931
-87.64351242	41.84880307
-87.64346619	41.84874823
-87.6433299	41.84861308
-87.64323272	41.84852247
-87.64313995	41.84855165
-87.64276096	41.8486917
-87.64239548	41.84885387
-87.64224823	41.84892555
-87.64195574	41.84858482
-87.64185302	41.84846461
-87.64175804	41.84835481
-87.64162366	41.84819278
-87.64162818	41.84811928
-87.64231406	41.84811088
-87.64242591	41.84810954
-87.64229973	41.84796041
-87.64216049	41.84779582
-87.64172655	41.8472829
-87.64185031	41.84711093
-87.64174231	41.84682959
-87.64160273	41.84646598
-87.64160243	41.84644714
